person_id,item_id,item_type,item_grade,item_level,test_score,gender,age
4b64f442,4c9c3bad,dictation,0.993889516,3.812769631,120,MALE,24
4b64f442,5139706,ctest,0.711864407,9.980779778,120,MALE,24
4b64f442,f08052d8,audio_vocab,0.824165656,10,120,MALE,24
4b64f442,3d54eef9,ctest,0.9,4.346819046,120,MALE,24
4b64f442,c9bfbfe6,text_vocab,0.915733149,8.123,120,MALE,24
4b64f442,b7a6990f,dictation,0.993889516,0.426555525,120,MALE,24
4b64f442,55453a67,text_vocab,0.975507821,7.491,120,MALE,24
4b64f442,9d34c131,ctest,0.8,6.14381174,120,MALE,24
4b64f442,f60ea593,dictation,0.024772578,8.859693902,120,MALE,24
4b64f442,fc9bc984,dictation,0.993889516,2.115158894,120,MALE,24
4b64f442,e18830c6,elicited_speech,0.862095507,6.00233872,120,MALE,24
4b64f442,90caad57,audio_vocab,0.836678836,1.434,120,MALE,24
4b64f442,29d571ec,dictation,1.00E-07,7.630951328,120,MALE,24
4b64f442,d8df9a6f,elicited_speech,0.743719049,7.580243024,120,MALE,24
4b64f442,8bdb546d,audio_vocab,0.615412091,6.518,120,MALE,24
4b64f442,9d8c5ead,elicited_speech,0.916153143,7.66424544,120,MALE,24
4b64f442,d6cfbc32,text_vocab,0.910223855,3.148,120,MALE,24
4b64f442,c9cb75eb,text_vocab,0.877287487,9.927,120,MALE,24
4b64f442,f712e42d,audio_vocab,0.954711503,5.947,120,MALE,24
4b64f442,8c754815,text_vocab,0.903615575,7.259,120,MALE,24
4b64f442,7e4acb4d,text_vocab,0.893671072,8.022,120,MALE,24
4b64f442,d62522a7,elicited_speech,0.906584024,8.622568398,120,MALE,24
4b64f442,0556a3f2,dictation,1.42E-05,7.91134448,120,MALE,24
4b64f442,8444500c,text_vocab,0.664902675,9.642,120,MALE,24
4b64f442,d7a3288b,ctest,0.842105263,8.040999066,120,MALE,24
4b64f442,2377a399,audio_vocab,0.836678836,9.705,120,MALE,24
4b64f442,4f52c232,ctest,0.854166667,9.667288316,120,MALE,24
4b64f442,fb90b906,ctest,0.692307692,0.721281463,120,MALE,24
4b64f442,8ea108d1,elicited_speech,0.924880683,5.767554627,120,MALE,24
4b64f442,b3b06b4a,audio_vocab,0.954711503,4.345,120,MALE,24
4b64f442,bccf8f7d,elicited_speech,0.843894811,7.556671064,120,MALE,24
5d5df09b,f781ccda,ctest,0.9999999,8.80459668,145,MALE,18
5d5df09b,fdbb3646,elicited_speech,0.9999999,4.549802998,145,MALE,18
5d5df09b,5a715f7d,ctest,0.9999999,9.705565704,145,MALE,18
5d5df09b,332bc0d0,dictation,0.993889516,8.872082713,145,MALE,18
5d5df09b,e8775daa,audio_vocab,0.954711503,5.062,145,MALE,18
5d5df09b,75a179e2,audio_vocab,0.957166214,0.744,145,MALE,18
5d5df09b,1f4c4173,dictation,0.993889516,1.030286206,145,MALE,18
5d5df09b,8d6ddc42,text_vocab,0.97811438,9.8,145,MALE,18
5d5df09b,6ede556d,ctest,0.9999999,2.520958881,145,MALE,18
5d5df09b,171c7141,dictation,0.657706343,8.793114844,145,MALE,18
5d5df09b,15d98ae0,ctest,0.894736842,9.750071839,145,MALE,18
5d5df09b,cdef378f,dictation,0.769674624,3.608959371,145,MALE,18
5d5df09b,8d87a3fe,text_vocab,0.919206801,9.852,145,MALE,18
